Service,Service Provider,Tag,Service Category,Domains
Twitter,,twitter,Social,"*.ads-twitter.com, *.periscope.tv, *.pscp.tv, *.t.co, *.tweetdeck.com, *.twimg.akadns.net, *.twimg.com, *.twitpic.com, *.twitter.com, *.twitterinc.com, *.twitteroauth.com, *.twitterstat.us, *.twttr.com"
Tinder,,tinder,Social,"*.gotinder.com, *.tinder.com, *.tindersparks.com"
Docker Registry,,docker-registry,Software updates,registry-1.docker.io
NPM Registry,,npm-registry,Software updates,registry.npmjs.org
Unpkg,,unpkg,Software updates,unpkg.com
Zoom,,zoom,Videoconferencing,"*.zoom.com, *.zoom.com.cn, *.zoom.us, *.zoomgov.com"
Webex,,webex,Videoconferencing,"*.ciscospark.com, *.wbx2.com, *.webex.ca, *.webex.co.in, *.webex.co.it, *.webex.co.jp, *.webex.co.kr, *.webex.co.nz, *.webex.co.uk, *.webex.com, *.webex.com.au, *.webex.com.br, *.webex.com.cn, *.webex.com.hk, *.webex.com.mx, *.webex.de, *.webex.es, *.webex.fr"
AccuWeather,,accuweather,Weather,"*.accu-weather.com, *.accuweather-com.videoplayerhub.com, *.accuweather.com, *.e10414.g.akamaiedge.net, *.accu-weather.com, *.accuweather-com.videoplayerhub.com, *.accuweather.com"
The Weather Channel,,the-weather-channel,Weather,"*.weather.com, *.weather.com.cn"
CHMI,,chmi,Weather,*.chmi.cz
